id,conversation,label,urgency_level,risk_score,context_type,escalation_level,intervention_required,confidence_score
f23fa186-4913-4b38-97ab-edbe773e9a56,"U: we had a disagreement | U: just normal stuff | U: things are fine now, i’m not sure | A: I'm listening. | U: it was a bit tense | A: What happened next? | U: it wasn’t serious | A: I'm listening. | U: we talked about it, it’s just weird",normal,low,0.4,unknown,6,no,0.83
6e599a8e-ab8b-4239-83ba-d1c674a1a9c2,"U: things are fine now | A: What happened next? | U: it was a bit tense at home | A: I'm listening. | U: just normal stuff, it’s just weird | A: Can you explain a bit more? | U: we talked about it, i don’t know... | A: I'm listening. | U: it wasn’t serious, maybe I’m overthinking | U: we had a disagreement at home, maybe I’m overthinking",normal,low,0.4,domestic,6,no,0.8
fa343e6e-af20-4a67-b865-179109c5d42b,"U: it was a bit tense, it’s just weird... | A: I'm listening. | U: things are fine now | A: What happened next? | U: we had a disagreement | U: just normal stuff",normal,low,0.3,unknown,4,no,0.92
07897055-2110-4aa4-846d-bc1ed3462c3d,"U: it was a bit tense | A: I'm listening. | U: we talked about it | A: I'm listening. | U: it wasn’t serious... | A: I'm listening. | U: just normal stuff, i tried to ignore it",normal,low,0.3,unknown,4,no,0.94
3dfb34f2-2de2-40eb-82b8-453b538f8af2,"U: we talked about it in the house | U: just normal stuff in the house, I tried to ignore it... | U: things are fine now, I don’t know | A: Can you explain a bit more? | U: we had a disagreement in the house | A: Can you explain a bit more? | U: it was a bit tense | A: Can you explain a bit more? | U: it wasn’t serious, i’m not sure",normal,low,0.4,domestic,6,no,0.76
89b3e732-2fad-4268-82fe-7848cd88d6a5,"U: we had a disagreement, it’s just weird | A: What happened next? | U: it wasn’t serious | U: just normal stuff",normal,low,0.25,unknown,3,no,0.81
2cb87b57-b685-4234-93ff-46c9465db682,"U: we had a disagreement with my partner | U: it wasn’t serious | A: I'm listening. | U: just normal stuff, maybe i’m overthinking | A: I'm listening. | U: it was a bit tense with my partner... | A: Can you explain a bit more? | U: things are fine now, maybe I’m overthinking",normal,low,0.35,relationship,5,no,0.76
bcc1e8fb-d770-4576-82c3-cce529b98f9b,U: just normal stuff | A: What happened next? | U: it was a bit tense | A: What happened next? | U: we talked about it...,normal,low,0.25,domestic,3,no,0.84
a1723e8e-e793-402f-92d5-080a96aa666d,"U: it was a bit tense | U: things are fine now with my partner, i tried to ignore it... | U: we talked about it with my partner, it’s just weird | A: I'm listening. | U: it wasn’t serious with my partner, it’s just weird | U: just normal stuff with my partner, I tried to ignore it",normal,low,0.35,relationship,5,no,0.95
c3a87ed3-f37f-4910-9532-934e958a36cd,"U: things are fine now, I tried to ignore it... | A: Can you explain a bit more? | U: we had a disagreement, it’s just weird | A: Can you explain a bit more? | U: it was a bit tense",normal,low,0.25,unknown,3,no,0.88
03541228-c731-47bc-8291-625bfa5675ce,U: we had a disagreement | A: I'm listening. | U: it was a bit tense | A: Can you explain a bit more? | U: things are fine now...,normal,low,0.25,unknown,3,no,0.84
7e4a4749-5b09-4d23-9810-2da00231a0b6,U: it wasn’t serious | A: Can you explain a bit more? | U: things are fine now... | A: Can you explain a bit more? | U: we had a disagreement in public,normal,low,0.25,public,3,no,0.9
14436e1c-1118-4399-a1a0-02e36c94f360,"U: it was a bit tense... | A: What happened next? | U: we talked about it, it’s just weird | A: What happened next? | U: it wasn’t serious | A: I'm listening. | U: just normal stuff | A: What happened next? | U: we had a disagreement",normal,low,0.35,unknown,5,no,0.87
494e86d5-f662-4185-a167-5e9bc7bda8eb,U: things are fine now outside | A: I'm listening. | U: it was a bit tense | A: What happened next? | U: we had a disagreement outside...,normal,low,0.25,public,3,no,0.92
e166d2a6-ef7a-42ee-8109-55faa18aeda5,"U: things are fine now, it’s just weird | U: we had a disagreement | A: What happened next? | U: it wasn’t serious, I’m not sure... | U: it was a bit tense, I tried to ignore it | A: I'm listening. | U: we talked about it with my family",normal,low,0.35,family,5,no,0.92
bc94e947-bd7a-49d5-8ed8-549310bfdedc,"U: it was a bit tense, I don’t know... | A: I'm listening. | U: things are fine now, it’s just weird | U: it wasn’t serious | A: What happened next? | U: just normal stuff, maybe I’m overthinking | U: we had a disagreement, I tried to ignore it...",normal,low,0.35,family,5,no,0.77
429aa4bc-78f0-481f-92dd-a463a37c7933,"U: we talked about it in public, I tried to ignore it | A: Can you explain a bit more? | U: it wasn’t serious in public | U: just normal stuff",normal,low,0.25,public,3,no,0.85
487e3e99-267e-4671-8699-a6894ccc2fac,"U: just normal stuff, I tried to ignore it | A: I'm listening. | U: we talked about it | U: it was a bit tense | A: What happened next? | U: things are fine now, I’m not sure | U: we had a disagreement, I tried to ignore it | A: I'm listening. | U: it wasn’t serious",normal,low,0.4,domestic,6,no,0.82
ee094dd1-4449-4402-a7a6-cee06488c8f6,"U: we had a disagreement | A: I'm listening. | U: just normal stuff, I tried to ignore it | A: I'm listening. | U: we talked about it",normal,low,0.25,unknown,3,no,0.82
7f4fcc31-5acd-48f1-8f8a-ac9382a1f43e,U: just normal stuff | A: Can you explain a bit more? | U: it was a bit tense... | A: I'm listening. | U: we talked about it with my family,normal,low,0.25,family,3,no,0.91
80cfa326-3831-4403-b557-e77255e54880,"U: we had a disagreement, it’s just weird | A: I'm listening. | U: it was a bit tense | A: Can you explain a bit more? | U: we talked about it, I don’t know",normal,low,0.25,family,3,no,0.78
521e186c-7b93-4b7e-917b-a576ab743a27,"U: it wasn’t serious at home, i don’t know | A: What happened next? | U: we talked about it, it’s just weird | A: Can you explain a bit more? | U: we had a disagreement at home...",normal,low,0.25,domestic,3,no,0.86
0ab92469-0ef5-4976-a86c-5ca31f205cee,"U: we had a disagreement, it’s just weird... | A: I'm listening. | U: things are fine now | A: Can you explain a bit more? | U: we talked about it, it’s just weird | A: I'm listening. | U: it was a bit tense, i don’t know",normal,low,0.3,family,4,no,0.82
def47ef7-51b3-434c-825e-c1dc7a21d3b8,"U: just normal stuff | A: Can you explain a bit more? | U: things are fine now, it’s just weird | A: What happened next? | U: we had a disagreement, it’s just weird",normal,low,0.25,unknown,3,no,0.89
a2bc4c11-3a2a-458d-bcc0-6b290995af64,"U: just normal stuff with my family | A: I'm listening. | U: we talked about it | A: I'm listening. | U: we had a disagreement, I’m not sure | A: I'm listening. | U: it wasn’t serious | U: things are fine now, maybe I’m overthinking | A: I'm listening. | U: it was a bit tense",normal,low,0.4,family,6,no,0.92
b11459cc-76fa-468d-a76d-03a0e0727240,U: we talked about it | A: I'm listening. | U: it wasn’t serious in public | U: things are fine now in public,normal,low,0.25,public,3,no,0.82
20803f6a-0d35-4f0b-8347-40f44ae914c5,"U: we had a disagreement in the house | A: I'm listening. | U: it was a bit tense | U: just normal stuff, I don’t know | A: I'm listening. | U: things are fine now | A: I'm listening. | U: it wasn’t serious, I don’t know | A: Can you explain a bit more? | U: we talked about it",normal,low,0.4,domestic,6,no,0.93
9c123565-1895-4a3a-a475-e55b98f88977,"U: it was a bit tense, I tried to ignore it | U: it wasn’t serious, I don’t know | A: I'm listening. | U: just normal stuff outside | A: I'm listening. | U: we had a disagreement, it’s just weird | A: I'm listening. | U: we talked about it",normal,low,0.35,public,5,no,0.84
a2594463-a3fb-4c85-8fae-d97e7aeccf16,"U: it wasn’t serious, i tried to ignore it | U: just normal stuff with my family, maybe I’m overthinking | A: Can you explain a bit more? | U: we had a disagreement with my family, I tried to ignore it | A: I'm listening. | U: it was a bit tense with my family",normal,low,0.3,family,4,no,0.81
d6845e4e-6bd9-44f3-b57c-d125fae0802a,"U: we talked about it | A: I'm listening. | U: just normal stuff in the house | U: it was a bit tense in the house | A: I'm listening. | U: it wasn’t serious | A: I'm listening. | U: things are fine now | A: I'm listening. | U: we had a disagreement, I tried to ignore it",normal,low,0.4,domestic,6,no,0.8
be799850-dc0b-4c29-ad79-d13afaedf766,"U: it wasn’t serious, maybe I’m overthinking | U: we had a disagreement | A: Can you explain a bit more? | U: things are fine now outside, maybe i’m overthinking",normal,low,0.25,public,3,no,0.8
8c2d3b3d-0e11-4b74-99f6-b017c90d78cc,"U: we talked about it | A: I'm listening. | U: we had a disagreement | A: What happened next? | U: it wasn’t serious, maybe I’m overthinking | U: it was a bit tense, maybe I’m overthinking | A: I'm listening. | U: things are fine now, i’m not sure | A: Can you explain a bit more? | U: just normal stuff",normal,low,0.4,unknown,6,no,0.83
27a7a8f9-96a1-41e2-8ae1-2836c27ec8bd,"U: it wasn’t serious | A: Can you explain a bit more? | U: we talked about it | U: we had a disagreement, i don’t know... | U: things are fine now outside | A: Can you explain a bit more? | U: it was a bit tense outside, i tried to ignore it",normal,low,0.35,public,5,no,0.85
7776eb9d-8130-4d09-8e91-68402cab245a,U: just normal stuff | A: What happened next? | U: it was a bit tense | A: What happened next? | U: things are fine now in the house... | U: we talked about it...,normal,low,0.3,domestic,4,no,0.77
22dbfe21-8c70-4c4d-9273-4f1c22060db9,"U: it wasn’t serious with my family, I tried to ignore it | A: Can you explain a bit more? | U: things are fine now with my family, it’s just weird | A: Can you explain a bit more? | U: just normal stuff with my family | A: What happened next? | U: we talked about it, it’s just weird... | A: Can you explain a bit more? | U: we had a disagreement with my family, it’s just weird... | A: What happened next? | U: it was a bit tense with my family, I’m not sure",normal,low,0.4,family,6,no,0.79
5c6fb507-3411-47a9-8be3-4b8bb98e72ec,"U: it wasn’t serious | A: What happened next? | U: things are fine now with my partner | A: What happened next? | U: we had a disagreement with my partner, I don’t know | A: What happened next? | U: it was a bit tense",normal,low,0.3,relationship,4,no,0.83
066ebea5-372d-4dcc-b72a-dd3bcbf3a392,"U: we talked about it, I tried to ignore it | A: I'm listening. | U: it was a bit tense at home | U: we had a disagreement at home... | U: it wasn’t serious, i don’t know | A: Can you explain a bit more? | U: things are fine now, I tried to ignore it",normal,low,0.35,domestic,5,no,0.93
d7e64351-88cb-43ad-b7a5-c9707bbdecfd,U: it was a bit tense | A: What happened next? | U: we talked about it in the house | U: we had a disagreement | A: I'm listening. | U: it wasn’t serious in the house,normal,low,0.3,domestic,4,no,0.8
0409a9fb-339a-4882-a2de-8b485c5924f6,"U: we had a disagreement, I don’t know | A: Can you explain a bit more? | U: things are fine now | A: What happened next? | U: it was a bit tense, maybe I’m overthinking | A: I'm listening. | U: it wasn’t serious | A: Can you explain a bit more? | U: just normal stuff, I’m not sure",normal,low,0.35,family,5,no,0.91
9d3824fd-3543-4ff8-8550-5baac3468dca,U: we talked about it | A: What happened next? | U: we had a disagreement with my partner | A: What happened next? | U: things are fine now with my partner | A: Can you explain a bit more? | U: it was a bit tense,normal,low,0.3,relationship,4,no,0.95
