id,conversation,label,urgency_level,risk_score,context_type,escalation_level,intervention_required,confidence_score
7bfaa12b-e6a4-4d5d-a8da-c20477f61c3d,"U: please help me | A: Do you need immediate help? | U: someone is trying to get in in the house | U: I hear something outside in the house, it’s just weird",emergency,high,0.9,domestic,3,yes,0.83
d57b7fbe-e67d-44ad-bc12-4c04abab07b3,"U: I feel like something bad is about to happen | A: Can you explain a bit more? | U: i’m not safe right now, i tried to ignore it | A: That sounds serious. Are you safe right now? | U: please help me | U: something feels wrong, I tried to ignore it",emergency,high,0.95,unknown,4,yes,0.8
3a4032e6-1fa9-4d47-a9b1-2c2a8494906a,"U: I’m not safe right now, I don’t know | A: That sounds serious. Are you safe right now? | U: please help me outside | A: That sounds serious. Are you safe right now? | U: someone is trying to get in, I don’t know",emergency,high,0.9,public,3,yes,0.76
ac25208c-061c-4f55-a7f5-5b8fe00e8702,"U: someone is trying to get in, it’s just weird | U: I hear something outside | A: Can you explain a bit more? | U: I think I'm in danger | A: That sounds serious. Are you safe right now? | U: I'm getting scared | A: Can you explain a bit more? | U: something feels wrong, it’s just weird... | U: please help me, maybe I’m overthinking",emergency,high,1.0,unknown,6,yes,0.94
b2640a67-a2ca-4f71-9f2f-4657bfb828f9,"U: please help me | U: I'm getting scared at home, I tried to ignore it | A: Can you explain a bit more? | U: I hear something outside, maybe I’m overthinking | A: What happened next? | U: I’m not safe right now",emergency,high,0.95,domestic,4,yes,0.85
bd5f1393-230a-48c9-8547-262fc8d9f43d,"U: I hear something outside, maybe I’m overthinking | A: I'm listening. | U: I feel like something bad is about to happen with my family | A: I'm listening. | U: something feels wrong, maybe I’m overthinking | A: I'm listening. | U: I think I'm in danger | A: That sounds serious. Are you safe right now? | U: I’m not safe right now with my family | A: That sounds serious. Are you safe right now? | U: I'm getting scared with my family",emergency,high,1.0,family,6,yes,0.84
55d97dfa-2bb9-4352-a3d3-ec028475dab4,U: I'm getting scared | U: I think I'm in danger outside | A: Do you need immediate help? | U: something feels wrong | A: What happened next? | U: i feel like something bad is about to happen outside | U: someone is trying to get in outside,emergency,high,1.0,public,5,yes,0.94
587492fc-267d-43c4-92bd-d0da022e3d52,"U: I think I'm in danger with my family, I don’t know | U: someone is trying to get in | A: What happened next? | U: something feels wrong with my family, it’s just weird | A: Can you explain a bit more? | U: I feel like something bad is about to happen",emergency,high,0.95,family,4,yes,0.92
dd7d48f1-4873-455f-b279-007344330d0e,"U: I'm getting scared, I tried to ignore it | A: I'm listening. | U: someone is trying to get in | A: What happened next? | U: I feel like something bad is about to happen... | U: please help me with my partner, it’s just weird",emergency,high,0.95,relationship,4,yes,0.89
86c12644-84b0-431a-b83a-fa7c409ed767,"U: someone is trying to get in, I don’t know | U: I'm getting scared | U: please help me",emergency,high,0.9,unknown,3,yes,0.8
b1e5d8a5-5676-49e0-80ae-1fea3c343853,"U: I'm getting scared | U: I hear something outside | A: What happened next? | U: i think i'm in danger, maybe i’m overthinking | U: please help me, I’m not sure | A: I'm concerned. Is someone with you? | U: i’m not safe right now | U: someone is trying to get in outside",emergency,high,1.0,public,6,yes,0.8
58602a87-937c-418b-8c53-17990d4b293f,"U: I'm getting scared | A: What happened next? | U: someone is trying to get in, I don’t know | U: please help me, i tried to ignore it | A: That sounds serious. Are you safe right now? | U: I think I'm in danger",emergency,high,0.95,relationship,4,yes,0.76
f29d80e2-720a-4975-8936-3d456042f1c0,"U: please help me at home | A: Do you need immediate help? | U: I think I'm in danger | A: That sounds serious. Are you safe right now? | U: I’m not safe right now at home | U: I feel like something bad is about to happen at home, I tried to ignore it... | A: What happened next? | U: something feels wrong at home, it’s just weird",emergency,high,1.0,domestic,5,yes,0.84
