id,conversation,label,urgency_level,risk_score,context_type,escalation_level,intervention_required,confidence_score
57b3e558-ef8d-43b6-a8a8-0b71ba483a56,"U: I feel controlled | A: Do you feel safe in that situation? | U: things are not normal, maybe i’m overthinking | U: I don’t have much freedom | A: Do you feel safe in that situation? | U: I have to ask before doing things outside | A: Can you explain a bit more? | U: i can’t decide things on my own outside",abuse,medium,0.85,public,5,yes,0.77
4f187b89-e6a6-4f80-a6c0-6eddebf9650d,"U: they don’t like me talking to people... | A: I'm listening. | U: I have to ask before doing things with my partner | A: Can you explain a bit more? | U: I feel controlled with my partner... | A: That doesn’t sound okay. Can you tell me more? | U: things are not normal, I tried to ignore it | U: I can’t decide things on my own with my partner | U: I feel watched sometimes with my partner",abuse,medium,0.9,relationship,6,yes,0.89
67fe56fe-b8ab-457d-ade8-500e3b7eceae,"U: i have to ask before doing things... | A: Can you explain a bit more? | U: I feel trapped | A: That sounds concerning. What’s been happening? | U: i don’t have much freedom | A: Do you feel safe in that situation? | U: I feel watched sometimes, I don’t know | A: What happened next? | U: things are not normal | U: I can’t decide things on my own, it’s just weird",abuse,medium,0.9,unknown,6,yes,0.79
88f4aa6e-3a4e-4eb4-8152-4e1983aa09e3,"U: I keep thinking about it, it’s just weird | U: I’ve been stressed, it’s just weird | A: That sounds difficult. Tell me more. | U: things have been off | A: That sounds difficult. Tell me more. | U: I can’t relax, I’m not sure",distress,medium,0.6,unknown,4,maybe,0.87
e3c13f8f-ae78-4e90-9956-f0856c29483a,"U: i feel controlled | A: That sounds concerning. What’s been happening? | U: I don’t have much freedom with my family | A: That sounds concerning. What’s been happening? | U: i feel trapped | U: I can’t decide things on my own with my family, I tried to ignore it... | U: they don’t like me talking to people | A: Can you explain a bit more? | U: things are not normal...",abuse,medium,0.9,family,6,yes,0.76
f23fa186-4913-4b38-97ab-edbe773e9a56,"U: we had a disagreement | U: just normal stuff | U: things are fine now, i’m not sure | A: I'm listening. | U: it was a bit tense | A: What happened next? | U: it wasn’t serious | A: I'm listening. | U: we talked about it, it’s just weird",normal,low,0.4,unknown,6,no,0.83
6e599a8e-ab8b-4239-83ba-d1c674a1a9c2,"U: things are fine now | A: What happened next? | U: it was a bit tense at home | A: I'm listening. | U: just normal stuff, it’s just weird | A: Can you explain a bit more? | U: we talked about it, i don’t know... | A: I'm listening. | U: it wasn’t serious, maybe I’m overthinking | U: we had a disagreement at home, maybe I’m overthinking",normal,low,0.4,domestic,6,no,0.8
fa343e6e-af20-4a67-b865-179109c5d42b,"U: it was a bit tense, it’s just weird... | A: I'm listening. | U: things are fine now | A: What happened next? | U: we had a disagreement | U: just normal stuff",normal,low,0.3,unknown,4,no,0.92
4ad9c972-f23e-4620-8768-6b745a29ec57,"U: they don’t like me talking to people | A: Can you explain a bit more? | U: I feel controlled at home, I tried to ignore it | U: I can’t decide things on my own | U: I feel watched sometimes at home",abuse,medium,0.8,domestic,4,yes,0.77
3d03f686-f34a-4ad6-9e52-699b1fc7ab7a,"U: I feel watched sometimes, I don’t know | A: What happened next? | U: they don’t like me talking to people with my partner | A: What happened next? | U: I can’t decide things on my own | A: Can you explain a bit more? | U: things are not normal with my partner, I’m not sure",abuse,medium,0.8,relationship,4,yes,0.88
74f8469f-baf9-4915-be01-acd253e59df8,"U: I can’t relax, it’s just weird | A: What happened next? | U: i’ve been stressed in the house | A: I’m here for you. What’s been going on? | U: i feel uneasy, maybe i’m overthinking | U: things have been off in the house | U: I keep thinking about it, maybe I’m overthinking | A: What happened next? | U: I’m not myself lately in the house, I’m not sure",distress,medium,0.7,domestic,6,maybe,0.88
07897055-2110-4aa4-846d-bc1ed3462c3d,"U: it was a bit tense | A: I'm listening. | U: we talked about it | A: I'm listening. | U: it wasn’t serious... | A: I'm listening. | U: just normal stuff, i tried to ignore it",normal,low,0.3,unknown,4,no,0.94
3dfb34f2-2de2-40eb-82b8-453b538f8af2,"U: we talked about it in the house | U: just normal stuff in the house, I tried to ignore it... | U: things are fine now, I don’t know | A: Can you explain a bit more? | U: we had a disagreement in the house | A: Can you explain a bit more? | U: it was a bit tense | A: Can you explain a bit more? | U: it wasn’t serious, i’m not sure",normal,low,0.4,domestic,6,no,0.76
89b3e732-2fad-4268-82fe-7848cd88d6a5,"U: we had a disagreement, it’s just weird | A: What happened next? | U: it wasn’t serious | U: just normal stuff",normal,low,0.25,unknown,3,no,0.81
7ffb0c8d-dd04-4523-8f95-54a850a171a1,"U: I feel trapped, maybe I’m overthinking | A: Do you feel safe in that situation? | U: I have to ask before doing things with my family, I tried to ignore it | A: Can you explain a bit more? | U: I can’t decide things on my own with my family, I tried to ignore it | A: What happened next? | U: they don’t like me talking to people with my family, I’m not sure | A: What happened next? | U: things are not normal, i tried to ignore it",abuse,medium,0.85,family,5,yes,0.76
7bfaa12b-e6a4-4d5d-a8da-c20477f61c3d,"U: please help me | A: Do you need immediate help? | U: someone is trying to get in in the house | U: I hear something outside in the house, it’s just weird",emergency,high,0.9,domestic,3,yes,0.83
2cb87b57-b685-4234-93ff-46c9465db682,"U: we had a disagreement with my partner | U: it wasn’t serious | A: I'm listening. | U: just normal stuff, maybe i’m overthinking | A: I'm listening. | U: it was a bit tense with my partner... | A: Can you explain a bit more? | U: things are fine now, maybe I’m overthinking",normal,low,0.35,relationship,5,no,0.76
d57b7fbe-e67d-44ad-bc12-4c04abab07b3,"U: I feel like something bad is about to happen | A: Can you explain a bit more? | U: i’m not safe right now, i tried to ignore it | A: That sounds serious. Are you safe right now? | U: please help me | U: something feels wrong, I tried to ignore it",emergency,high,0.95,unknown,4,yes,0.8
bcc1e8fb-d770-4576-82c3-cce529b98f9b,U: just normal stuff | A: What happened next? | U: it was a bit tense | A: What happened next? | U: we talked about it...,normal,low,0.25,domestic,3,no,0.84
3a4032e6-1fa9-4d47-a9b1-2c2a8494906a,"U: I’m not safe right now, I don’t know | A: That sounds serious. Are you safe right now? | U: please help me outside | A: That sounds serious. Are you safe right now? | U: someone is trying to get in, I don’t know",emergency,high,0.9,public,3,yes,0.76
68399601-465c-4aa0-a2f8-c91556df4252,"U: things have been off, maybe I’m overthinking | A: Do you want to talk about it? | U: I can’t relax, I’m not sure | A: What happened next? | U: I feel uneasy... | U: I keep thinking about it | A: Can you explain a bit more? | U: I’m not myself lately | A: I'm listening. | U: I don’t feel okay",distress,medium,0.7,unknown,6,maybe,0.78
f77cdca8-7eb7-470c-a1d0-724dc7a20cc9,"U: I keep thinking about it, I’m not sure | U: I’m not myself lately outside | U: things have been off outside | U: I don’t feel okay, I tried to ignore it... | A: What happened next? | U: I feel uneasy, I tried to ignore it | U: I’ve been stressed outside",distress,medium,0.7,public,6,maybe,0.93
a1723e8e-e793-402f-92d5-080a96aa666d,"U: it was a bit tense | U: things are fine now with my partner, i tried to ignore it... | U: we talked about it with my partner, it’s just weird | A: I'm listening. | U: it wasn’t serious with my partner, it’s just weird | U: just normal stuff with my partner, I tried to ignore it",normal,low,0.35,relationship,5,no,0.95
